class,name,path
0,img_000001.jpg,data/train/0/img_000001.jpg
0,img_000002.jpg,data/train/0/img_000002.jpg
0,img_000003.jpg,data/train/0/img_000003.jpg
0,img_000004.jpg,data/train/0/img_000004.jpg
0,img_000005.jpg,data/train/0/img_000005.jpg
0,img_000006.jpg,data/train/0/img_000006.jpg
0,img_000007.jpg,data/train/0/img_000007.jpg
0,img_000008.jpg,data/train/0/img_000008.jpg
0,img_000009.jpg,data/train/0/img_000009.jpg
0,img_000010.jpg,data/train/0/img_000010.jpg
0,img_000011.jpg,data/train/0/img_000011.jpg
0,img_000012.jpg,data/train/0/img_000012.jpg
0,img_000013.jpg,data/train/0/img_000013.jpg
0,img_000014.jpg,data/train/0/img_000014.jpg
0,img_000015.jpg,data/train/0/img_000015.jpg
0,img_000016.jpg,data/train/0/img_000016.jpg
0,img_000017.jpg,data/train/0/img_000017.jpg
0,img_000018.jpg,data/train/0/img_000018.jpg
0,img_000019.jpg,data/train/0/img_000019.jpg
0,img_000020.jpg,data/train/0/img_000020.jpg
0,img_000021.jpg,data/train/0/img_000021.jpg
0,img_000022.jpg,data/train/0/img_000022.jpg
0,img_000023.jpg,data/train/0/img_000023.jpg
0,img_000024.jpg,data/train/0/img_000024.jpg
0,img_000025.jpg,data/train/0/img_000025.jpg
0,img_000026.jpg,data/train/0/img_000026.jpg
0,img_000027.jpg,data/train/0/img_000027.jpg
0,img_000028.jpg,data/train/0/img_000028.jpg
0,img_000029.jpg,data/train/0/img_000029.jpg
0,img_000030.jpg,data/train/0/img_000030.jpg
0,img_000031.jpg,data/train/0/img_000031.jpg
0,img_000032.jpg,data/train/0/img_000032.jpg
0,img_000033.jpg,data/train/0/img_000033.jpg
0,img_000034.jpg,data/train/0/img_000034.jpg
0,img_000035.jpg,data/train/0/img_000035.jpg
0,img_000036.jpg,data/train/0/img_000036.jpg
0,img_000037.jpg,data/train/0/img_000037.jpg
0,img_000038.jpg,data/train/0/img_000038.jpg
0,img_000039.jpg,data/train/0/img_000039.jpg
0,img_000040.jpg,data/train/0/img_000040.jpg
0,img_000041.jpg,data/train/0/img_000041.jpg
0,img_000042.jpg,data/train/0/img_000042.jpg
0,img_000043.jpg,data/train/0/img_000043.jpg
0,img_000044.jpg,data/train/0/img_000044.jpg
0,img_000045.jpg,data/train/0/img_000045.jpg
0,img_000046.jpg,data/train/0/img_000046.jpg
0,img_000047.jpg,data/train/0/img_000047.jpg
0,img_000048.jpg,data/train/0/img_000048.jpg
0,img_000049.jpg,data/train/0/img_000049.jpg
0,img_000050.jpg,data/train/0/img_000050.jpg
0,img_000051.jpg,data/train/0/img_000051.jpg
0,img_000052.jpg,data/train/0/img_000052.jpg
0,img_000053.jpg,data/train/0/img_000053.jpg
0,img_000054.jpg,data/train/0/img_000054.jpg
0,img_000055.jpg,data/train/0/img_000055.jpg
0,img_000056.jpg,data/train/0/img_000056.jpg
0,img_000057.jpg,data/train/0/img_000057.jpg
0,img_000058.jpg,data/train/0/img_000058.jpg
0,img_000059.jpg,data/train/0/img_000059.jpg
0,img_000060.jpg,data/train/0/img_000060.jpg
0,img_000061.jpg,data/train/0/img_000061.jpg
